problem_id,grid_size,N,compilation_time,reconstruction_time,fidelity,L2,noise
0,200,10,0.5891430377960205,0.006501197814941406,0.997242163626166,8.0431755e-07,0
1,200,10,0.5891430377960205,0.0040187835693359375,0.991306765975375,4.837427e-06,0
2,200,10,0.5891430377960205,0.008199930191040039,0.9880526683131399,2.0391421e-06,0
3,200,10,0.5891430377960205,0.003874063491821289,0.9906698188173432,3.8122712e-06,0
4,200,10,0.5891430377960205,0.003993988037109375,0.2737802063721548,0.0025861976,0
5,200,10,0.5891430377960205,0.0037260055541992188,0.14173366469134221,0.01929992,0
6,200,10,0.5891430377960205,0.0037789344787597656,0.964418151806065,4.2666066e-05,0
0,200,20,8.683939218521118,0.014457941055297852,0.9974617502414064,2.576132e-07,0
1,200,20,8.683939218521118,0.009170293807983398,0.9915653819623198,1.2004178e-06,0
2,200,20,8.683939218521118,0.009837150573730469,0.997053605708924,5.855643e-07,0
3,200,20,8.683939218521118,0.009551048278808594,0.9906168636646159,9.835787e-07,0
4,200,20,8.683939218521118,0.0093841552734375,0.14092212287484226,0.00466907,0
5,200,20,8.683939218521118,0.016813993453979492,0.14022289998438914,0.0048423726,0
6,200,20,8.683939218521118,0.009506702423095703,0.9753628684283535,1.1736012e-05,0
0,200,30,41.44436311721802,0.04623913764953613,0.9973316058649834,1.6462795e-07,0
1,200,30,41.44436311721802,0.020818233489990234,0.991614821866592,5.880665e-07,0
2,200,30,41.44436311721802,0.019604921340942383,0.9974030454356635,2.6266002e-07,0
3,200,30,41.44436311721802,0.019762039184570312,0.9904597614664485,4.529014e-07,0
4,200,30,41.44436311721802,0.020566940307617188,0.13298869271981403,0.002096218,0
5,200,30,41.44436311721802,0.020282745361328125,0.13986216028754325,0.002152676,0
6,200,30,41.44436311721802,0.018948078155517578,0.9752604236777813,5.291488e-06,0
0,200,40,130.53337597846985,0.11467123031616211,0.9967118416237457,1.241579e-07,0
1,200,40,130.53337597846985,0.03450798988342285,0.9917091694143042,3.5009236e-07,0
2,200,40,130.53337597846985,0.03466296195983887,0.9971769205152263,1.5469341e-07,0
3,200,40,130.53337597846985,0.03469991683959961,0.9904037419421503,2.5988749e-07,0
4,200,40,130.53337597846985,0.034323930740356445,0.13025168388538247,0.0011821552,0
5,200,40,130.53337597846985,0.0343928337097168,0.14042485024622586,0.001210135,0
6,200,40,130.53337597846985,0.03437328338623047,0.9754827617255803,2.9712487e-06,0
0,200,50,326.25440287590027,0.3678278923034668,0.997401043611851,8.3924455e-08,0
1,200,50,326.25440287590027,0.05154824256896973,0.9914726798974286,2.3556738e-07,0
2,200,50,326.25440287590027,0.04986119270324707,0.9974321282806571,1.0124033e-07,0
3,200,50,326.25440287590027,0.05132579803466797,0.9905577187772685,1.747276e-07,0
4,200,50,326.25440287590027,0.05000877380371094,0.13325189253629188,0.00075666717,0
5,200,50,326.25440287590027,0.05396127700805664,0.14005904855755563,0.00077501667,0
6,200,50,326.25440287590027,0.05070185661315918,0.9752804361539702,1.93249e-06,0
0,200,10,0.5186450481414795,0.005179166793823242,0.997282293239717,7.5890335e-07,0.01
1,200,10,0.5186450481414795,0.003500223159790039,0.9914799055579717,4.471325e-06,0.01
2,200,10,0.5186450481414795,0.003515958786010742,0.988036605514582,2.0068037e-06,0.01
3,200,10,0.5186450481414795,0.07995486259460449,0.9904439129121085,3.895993e-06,0.01
4,200,10,0.5186450481414795,0.009485006332397461,0.2736910544238616,0.0025841442,0.01
5,200,10,0.5186450481414795,0.00948023796081543,0.1413703679902043,0.01927879,0.01
6,200,10,0.5186450481414795,0.00825190544128418,0.9640705430063924,4.303706e-05,0.01
0,200,20,8.0833899974823,0.011724710464477539,0.997195075799684,2.7411338e-07,0.01
1,200,20,8.0833899974823,0.009435892105102539,0.9917505998328476,1.1800198e-06,0.01
2,200,20,8.0833899974823,0.00983119010925293,0.9972287971573671,5.698178e-07,0.01
3,200,20,8.0833899974823,0.00973200798034668,0.9902761063614776,9.916025e-07,0.01
4,200,20,8.0833899974823,0.009624719619750977,0.14181411866223823,0.0046637338,0.01
5,200,20,8.0833899974823,0.009557723999023438,0.14016586895539285,0.0048439596,0.01
6,200,20,8.0833899974823,0.009550094604492188,0.9754270192327508,1.153377e-05,0.01
0,200,30,40.743934869766235,0.06708312034606934,0.9967913324638504,1.8465592e-07,0.01
1,200,30,40.743934869766235,0.020190000534057617,0.9917011742676747,5.6405037e-07,0.01
2,200,30,40.743934869766235,0.02015209197998047,0.9968993216581408,2.6528346e-07,0.01
3,200,30,40.743934869766235,0.0205838680267334,0.9904242687084006,4.5258503e-07,0.01
4,200,30,40.743934869766235,0.02008509635925293,0.13144160112811631,0.0020968046,0.01
5,200,30,40.743934869766235,0.0195009708404541,0.13771865898524252,0.0021533726,0.01
6,200,30,40.743934869766235,0.028716087341308594,0.9754670282446527,5.2464193e-06,0.01
0,200,40,126.87912273406982,0.13666105270385742,0.9973893941974827,1.1363991e-07,0.01
1,200,40,126.87912273406982,0.033203125,0.9916485262140506,3.461051e-07,0.01
2,200,40,126.87912273406982,0.033479928970336914,0.9970739491679164,1.6346335e-07,0.01
3,200,40,126.87912273406982,0.03331398963928223,0.9906175475398948,2.5876705e-07,0.01
4,200,40,126.87912273406982,0.03336334228515625,0.13501770302496438,0.0011812237,0.01
5,200,40,126.87912273406982,0.03429126739501953,0.13868396244621434,0.0012109373,0.01
6,200,40,126.87912273406982,0.034107208251953125,0.9753464994670646,2.9819735e-06,0.01
0,200,50,319.33956933021545,0.42145705223083496,0.9974371560721933,8.319914e-08,0.01
1,200,50,319.33956933021545,0.05901312828063965,0.9915408504553577,2.4163424e-07,0.01
2,200,50,319.33956933021545,0.04963111877441406,0.9969211519203978,1.02683835e-07,0.01
3,200,50,319.33956933021545,0.05007481575012207,0.9903446739497948,1.7168396e-07,0.01
4,200,50,319.33956933021545,0.05289506912231445,0.13295290146683234,0.0007563178,0.01
5,200,50,319.33956933021545,0.050657033920288086,0.14324464312483776,0.0007741321,0.01
6,200,50,319.33956933021545,0.052539825439453125,0.9752924516472488,1.9150027e-06,0.01
0,200,10,0.568993091583252,0.004007816314697266,1.0005203727019496,1.4340384e-05,0.1
1,200,10,0.568993091583252,0.0034019947052001953,0.9950249370249737,1.5205571e-05,0.1
2,200,10,0.568993091583252,0.0056803226470947266,0.9883569872083677,6.552554e-06,0.1
3,200,10,0.568993091583252,0.03867197036743164,0.9922188397420242,8.437417e-06,0.1
4,200,10,0.568993091583252,0.009020328521728516,0.2737163600825938,0.00259177,0.1
5,200,10,0.568993091583252,0.01605987548828125,0.1504370034784303,0.01923407,0.1
6,200,10,0.568993091583252,0.018835067749023438,0.961620688602167,6.4951986e-05,0.1
0,200,20,8.1892569065094,0.01379704475402832,0.9917882548831983,1.235397e-05,0.1
1,200,20,8.1892569065094,0.009518146514892578,0.9908772503605586,1.17976615e-05,0.1
2,200,20,8.1892569065094,0.012115001678466797,0.9963611829896045,3.4094494e-06,0.1
3,200,20,8.1892569065094,0.009820938110351562,0.9902449422526451,5.0855224e-06,0.1
4,200,20,8.1892569065094,0.009363889694213867,0.13100140366238752,0.004642553,0.1
5,200,20,8.1892569065094,0.009279012680053711,0.13672068633830411,0.0048594,0.1
6,200,20,8.1892569065094,0.009239912033081055,0.9754496508147955,2.4678795e-05,0.1
0,200,30,40.5308051109314,0.0657510757446289,0.999174173698152,9.6176545e-06,0.1
1,200,30,40.5308051109314,0.02003002166748047,0.9907887342031452,1.1203566e-05,0.1
2,200,30,40.5308051109314,0.02028512954711914,0.9973539620504426,2.639272e-06,0.1
3,200,30,40.5308051109314,0.019855022430419922,0.9869682344993445,3.50516e-06,0.1
4,200,30,40.5308051109314,0.020760059356689453,0.13690973443018584,0.002102644,0.1
5,200,30,40.5308051109314,0.0199129581451416,0.1387137256035076,0.0021558218,0.1
6,200,30,40.5308051109314,0.019678831100463867,0.976610909376644,1.4301922e-05,0.1
0,200,40,127.67864227294922,0.11972618103027344,0.9968765342622401,7.2641215e-06,0.1
1,200,40,127.67864227294922,0.03438711166381836,0.9865219730876493,8.67612e-06,0.1
2,200,40,127.67864227294922,0.03440093994140625,0.9978260988230149,2.0459747e-06,0.1
3,200,40,127.67864227294922,0.034436941146850586,0.9905350476020516,2.364129e-06,0.1
4,200,40,127.67864227294922,0.0348658561706543,0.12898201303575962,0.0011923597,0.1
5,200,40,127.67864227294922,0.03449296951293945,0.13962261149492086,0.0012094717,0.1
6,200,40,127.67864227294922,0.033952951431274414,0.9747029967315759,1.0622616e-05,0.1
0,200,50,360.7687931060791,0.7245559692382812,0.9958662864668786,6.1921123e-06,0.1
1,200,50,360.7687931060791,0.056056976318359375,0.9925290433849584,5.808748e-06,0.1
2,200,50,360.7687931060791,0.0582270622253418,0.9975909831083715,1.4693443e-06,0.1
3,200,50,360.7687931060791,0.057222843170166016,0.9881969130241712,2.0557854e-06,0.1
4,200,50,360.7687931060791,0.05792379379272461,0.1388183544582787,0.00076069083,0.1
