problem_id,grid_size,N,compilation_time,reconstruction_time,fidelity,L2,noise
0,100,10,1.84,5.97652006149292,0.9999970839316087,3.8947691209293016e-13,0.0
0,100,10,1.84,5.494226932525635,0.9999970839316087,3.8947691209293016e-13,0.0
0,100,20,1.84,9.519180059432983,0.999917093514536,7.291895321509656e-11,0.0
0,100,30,1.84,17.23431897163391,0.9999214513587611,2.893160833415384e-11,0.0
0,100,40,1.84,673.6250710487366,0.9999123907447627,1.9974029225513943e-11,0.0
0,100,50,1.84,801.6739308834076,0.9998815586225445,2.3786716376682445e-11,0.0
1,100,10,1.84,5.621438980102539,0.9999971169423255,3.808755736493098e-13,0.0
1,100,20,1.84,8.563539981842041,0.9999177792044538,7.170526429457659e-11,0.0
1,100,30,1.84,18.872058153152466,0.9999240971412241,2.702558776301915e-11,0.0
2,100,10,1.84,4.48039698600769,0.9918893073767243,1.0245593972109673e-07,0.0
2,100,20,1.84,8.053340911865234,0.9999898220218498,6.643921868437148e-12,0.0
2,100,30,1.84,24.78848385810852,0.9999183544361532,1.8987627087449483e-11,0.0
3,100,10,1.84,5.272004842758179,0.9999948818770474,6.728359595239586e-13,0.0
3,100,20,1.84,9.060791015625,0.9998974890243071,5.972689578289726e-11,0.0
3,100,30,1.84,27.753577947616577,0.9999167561990996,1.7015236005952556e-11,0.0
4,100,10,1.84,5.235809087753296,0.45701606551794993,0.00034582308072389636,0.0
4,100,20,1.84,10.461349964141846,0.9695732568012588,4.199069639718207e-05,0.0
4,100,30,1.84,28.27627205848694,0.9283412102857784,6.568270368494827e-05,0.0
5,100,10,1.84,3.53474497795105,0.9981946905778674,4.147443981623208e-09,0.0
5,100,20,1.84,7.063431978225708,0.9998971241807395,1.1944314787038616e-10,0.0
5,100,30,1.84,15.019075870513916,0.9999151126563878,3.595282317551646e-11,0.0
6,100,10,1.84,3.263016939163208,0.9885776080112423,1.694875373848882e-07,0.0
6,100,20,1.84,6.748631238937378,0.9999237175458853,6.58788547454138e-11,0.0
6,100,30,1.84,15.114877939224243,0.9998252664684021,1.4256962397870242e-10,0.0
7,100,10,1.84,3.238816738128662,0.9993769558456437,5.6779345018759e-10,0.0
7,100,20,1.84,6.806402921676636,0.9999082820342575,8.811829111543034e-11,0.0
7,100,30,1.84,17.605052947998047,0.9999160617016052,3.434928896818884e-11,0.0
0,100,10,1.84,3.6323020458221436,0.9857010350923352,1.6353387344725902e-05,0.01
0,100,20,1.84,7.448102235794067,0.9679252551697525,1.8049205044822324e-05,0.01
0,100,30,1.84,26.787200927734375,0.9846180351493482,2.09266349978087e-06,0.01
1,100,10,1.84,3.6688079833984375,0.9228245769369637,0.000339751957953961,0.01
1,100,20,1.84,7.467001914978027,0.9024473049568718,0.00011977953152356989,0.01
1,100,30,1.84,15.764373064041138,0.8480139613273838,0.00010128092841937558,0.01
2,100,10,1.84,3.4188790321350098,0.9555438863590211,0.00012440692604812902,0.01
2,100,20,1.84,7.279248237609863,0.9499784922513941,3.855978003729839e-05,0.01
2,100,30,1.84,19.8871169090271,0.9732756590329903,1.2281665221130127e-05,0.01
3,100,10,1.84,3.4032487869262695,0.9143055939189044,0.0002603876336882334,0.01
3,100,20,1.84,7.593757152557373,0.9192656319275524,6.150197755691384e-05,0.01
3,100,30,1.84,17.33255910873413,0.9104165062584817,3.0265001504674216e-05,0.01
4,100,10,1.84,3.5121071338653564,0.4526405767503007,0.0003671391867470152,0.01
4,100,20,1.84,7.127674102783203,0.9195744956999851,0.0001367912061004687,0.01
4,100,30,1.84,24.761517763137817,0.8838934444182455,0.00010948703083067077,0.01
5,100,10,1.84,3.260719060897827,0.9477840112648215,0.00023973581795923377,0.01
5,100,20,1.84,7.237811803817749,0.9149860443663048,0.00010381520360710952,0.01
5,100,30,1.84,23.503233194351196,0.9440783925811835,3.0365821166509758e-05,0.01
6,100,10,1.84,3.5302178859710693,0.7723887519422474,0.0023578673501716547,0.01
6,100,20,1.84,8.2444589138031,0.8165066891846219,0.0005236432323504138,0.01
