problem_id,grid_size,N,compilation_time,reconstruction_time,fidelity,L2,noise
0,100,10,0.0026922225952148438,0.01621389389038086,0.9998283047531065,2.335923216086676e-09,0
0,100,20,3.536504030227661,0.10562705993652344,0.9998283047531072,1.956648910688044e-06,0
0,100,30,20.542325973510742,0.9450840950012207,0.9998283047531054,3.0332515029354787e-06,0
0,100,40,81.76706409454346,5.07058310508728,0.9998283047531017,2.7423016671601204e-06,0
0,100,50,226.56370496749878,53.32784104347229,0.9998283047532,3.8578286652755295e-07,0
1,100,10,0.0046939849853515625,0.3614540100097656,0.9994525666737774,1.8293763907816143e-08,0
1,100,20,0.009480953216552734,1.226261854171753,0.9994525666737781,0.00031082429619046724,0
1,100,30,0.01909780502319336,5.143149137496948,0.9994525666737784,0.00031444166920392794,0
1,100,40,0.034156084060668945,26.702744722366333,0.999452566673815,0.00032501773982866224,0
1,100,50,0.049097299575805664,51.61146783828735,0.9994525666714241,6.318994457716065e-05,0
2,100,10,0.0028629302978515625,0.17283201217651367,0.9909346766168804,8.168325270566538e-09,0
2,100,20,0.009213924407958984,0.8816120624542236,1.0002397048757037,0.00014501414866191278,0
2,100,30,0.016132116317749023,5.904819965362549,1.0023330442281428,0.00032080754104757734,0
2,100,40,0.03661012649536133,24.608914136886597,0.9988916691536666,0.00024099846163152858,0
2,100,50,0.060289621353149414,41.82206106185913,0.9988029268550986,5.1532568845587944e-05,0
3,100,10,0.005725860595703125,0.10946106910705566,0.9994475829430174,1.372452745265572e-08,0
3,100,20,0.01001596450805664,1.225404977798462,0.9993783023133975,5.632963054304418e-05,0
3,100,30,0.01717996597290039,7.830329179763794,0.9994463827068114,6.649028926734773e-05,0
3,100,40,0.04556012153625488,28.77507495880127,0.9993661789169581,6.887511348405471e-05,0
3,100,50,0.06137275695800781,54.56846213340759,0.9994475824474186,1.3252595859023592e-05,0
4,100,10,0.0026710033416748047,0.2330310344696045,0.4061512579659276,0.0002290882321467177,0
4,100,20,0.008540868759155273,1.0215389728546143,0.8066657422167084,0.0005957583793046487,0
4,100,30,0.023639202117919922,7.508947849273682,0.8225829882432188,0.00031302604417091806,0
4,100,40,0.04103207588195801,18.801474809646606,0.8292863018349494,0.00030230361320774063,0
4,100,50,0.060220956802368164,42.74744987487793,0.8143683489755689,0.00012385193075461635,0
5,100,10,0.002538919448852539,0.022024869918823242,0.7727307081153133,0.0030905693964357935,0
5,100,20,0.00815892219543457,0.18242406845092773,0.7781206837338319,0.0008575039431571929,0
5,100,30,0.015403985977172852,1.569856882095337,0.7808573475775912,0.00045417649658146793,0
5,100,40,0.03553271293640137,6.090702056884766,0.7792712155622922,0.0003271670279305039,0
5,100,50,0.04151296615600586,10.394484996795654,0.7764632645424125,0.0001482449784567952,0
